Author,Rating,Title,Date,Body
"Flipkart Customer, Durllabhganj",4.0 out of 5 stars,4.0•Delightful,"Reviewed in India on · Feb, 2024",The light is very powerful. I like it🤗🤗
"VIKASH RAJ, Muzaffarpur District",4.0 out of 5 stars,4.0•Wonderful,"Reviewed in India on · Oct, 2024",Super Very Nice I like it thank you Flipkart
"Dipendra Singh Melka, Sikar District",5.0 out of 5 stars,5.0•Super!,"Reviewed in India on · Jan, 2024",Nice product farmers
"Kirtan Ugar, Sambalpur",4.0 out of 5 stars,4.0•Really Nice,"Reviewed in India on · Apr, 2024",This flashlight is ok but a bit expensive and has Type C code. It also gets charged from power bank.I am very happy thank you Flipkart.
"Rashmi Ranjan Panda, Sambalpur",3.0 out of 5 stars,3.0•Decent product,Reviewed in India on Decent product,Good
"CHHOTU  KUMAR, Sijua",5.0 out of 5 stars,5.0•Wonderful,"Reviewed in India on · Oct, 2024",More Distance
"Raj Kumar  Mishra, Hardoi",3.0 out of 5 stars,3.0•Does the job,"Reviewed in India on · Feb, 2024",Battery timing is not 6 and 10 hours only 2 hours working
"Ghadi Lal Nayak, Raigarh",5.0 out of 5 stars,5.0•Pretty good,"Reviewed in India on · Sep, 2024",Very Best Product  Very Good
"Ravi  Singh, Vaishali District",5.0 out of 5 stars,5.0•Mind-blowing purchase,"Reviewed in India on · Dec, 2023",Good product with this price
"Ribas  Básùmátà, Samuktola",4.0 out of 5 stars,4.0•Good quality product,"Reviewed in India on · Feb, 2024",Good product thanks 🔦🔦
"Sunil Rabha, Goalpara District",5.0 out of 5 stars,5.0•Simply awesome,"Reviewed in India on · Jan, 2024",Good
"Flipkart Customer, Bijbehara",5.0 out of 5 stars,5.0•Classy product,"Reviewed in India on · Nov, 2024",Light Emitting capability of torch is superb .  Muzamil Bashir
"Susheel Shukla, Siddharthnagar",5.0 out of 5 stars,5.0•Simply awesome,"Reviewed in India on · Jan, 2025",Very good product for this price range battery backup superb and I am use emergency light this is very useful
"Surajit Khan, Bankura",4.0 out of 5 stars,4.0•Wonderful,Reviewed in India on · 10 months ago,"Good one,4-5hrs continuously running time,good for patrolling duty."
"Vijay Jadhav, Sonpeth",5.0 out of 5 stars,5.0•Highly recommended,"Reviewed in India on · Nov, 2023",Best Reasonable Light weight
"Kalyan Boruah, Moranhat",5.0 out of 5 stars,5.0•Best in the market!,"Reviewed in India on · Aug, 2024",Good
"Mousam Basumatary, Nagaon District",4.0 out of 5 stars,4.0•Pretty good,"Reviewed in India on · Dec, 2024",Very good Flashlight...
"Imran khan, Ajmer Division",3.0 out of 5 stars,3.0•Decent product,Reviewed in India on Decent product,Good for farmer
"Bharti Thapa, Kurali",4.0 out of 5 stars,4.0•Good choice,"Reviewed in India on · Feb, 2024","The torch is very good and has a long range, I liked it very much,,,,"
"Flipkart Customer, Azamgarh District",5.0 out of 5 stars,5.0•Fabulous!,Reviewed in India on · 7 months ago,Super light 🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨
"Gyanendra Yadav, Gorakhpur",5.0 out of 5 stars,5.0•Wonderful,"Reviewed in India on · Mar, 2024","Nice product.. quality and design superb. Light weight, Bright light and fast charging battery backup seems less as mentioned 6Hours and 10 hours but it's good not bad. Box having: Torch, C type data ..."
"DIPAK  CHAUHAN, Halol",4.0 out of 5 stars,4.0•Really Nice,"Reviewed in India on · May, 2025",Superb quality and results
"suraj singh, Siwan District",5.0 out of 5 stars,5.0•Terrific,Reviewed in India on · 10 months ago,Reviewing it after 1 week use  Light 10/10 Build quality 8/10 Backup 10/10 Charging time 6/10
"Gobinda Sarkar, Jalpaiguri District",5.0 out of 5 stars,5.0•Awesome,"Reviewed in India on · May, 2025",Very good quality
"WAHIDUR  RAHMAN, Chennai",5.0 out of 5 stars,5.0•Wonderful,"Reviewed in India on · Feb, 2025",Good product
"Flipkart Customer, Arsikere",5.0 out of 5 stars,5.0•Classy product,"Reviewed in India on · Aug, 2024",Good product 💯
"Kanagaraj, Kangeyam",5.0 out of 5 stars,5.0•Best in the market!,"Reviewed in India on · Jul, 2024",The light is useful for farmers...It covers a long distance.The side light also gives a warm light.Highly recommended....!
"Mustakin Mollya, North Twenty Four Parganas District",5.0 out of 5 stars,5.0•Just wow!,"Reviewed in India on · Apr, 2024",Good
"BINOD KUMAR SHARMA, Jamshedpur",5.0 out of 5 stars,5.0•Terrific,"Reviewed in India on · Mar, 2024",Very good
"Flipkart Customer, Pune",5.0 out of 5 stars,5.0•Perfect product!,"Reviewed in India on · Feb, 2024",Good product . Light weight.  Strong light.  Go for It
"Jeet  Goraniya, Raval",5.0 out of 5 stars,5.0•Great product,"Reviewed in India on · Nov, 2024",Very good torch 4 hour backup front 5 h hour side light focus is good but not as expected
"BIPUL MUNDA, Mariani",5.0 out of 5 stars,5.0•Fabulous!,"Reviewed in India on , Mariani",Good is Product.I like you. Thanks flipkart.👌
"Flipkart Customer, Lucknow",5.0 out of 5 stars,5.0•Must buy!,"Reviewed in India on · Aug, 2024",Amazing. Value for money.
"Vikram Singh, Bhiwadi",5.0 out of 5 stars,5.0•Best in the market!,"Reviewed in India on · Mar, 2025",Continue 8 month use very nice pr
"Jagdev Tiwana, Malerkotla",5.0 out of 5 stars,5.0•Highly recommended,"Reviewed in India on · Jun, 2024","Everready Search light DL95, 4 w rechargeable torch,4x torch life,5xbattery life,super fast charging,over charge protection,4modes of light,Torch light 4w super bright white LED,3.1v ,-1000mA,side lig..."
"Arindam Haldar, South Twenty Four Parganas District",3.0 out of 5 stars,3.0•Nice,Reviewed in India on · 9 months ago,"1w syska vs 4watt eveready torch. useful, but go for DL98."
"AKSHAT YADAV, Faizabad",4.0 out of 5 stars,4.0•Good quality product,"Reviewed in India on · Jan, 2025",Torch light capacity is good but battery is not long lasting. It's weight is very light. Overall a good Kisan torch 🔦.
"Chow kingto Manpoong, Namsai",4.0 out of 5 stars,4.0•Delightful,"Reviewed in India on · Jun, 2024",Great just go for it.
"kuldeep singh, Mathura District",4.0 out of 5 stars,4.0•Good choice,Reviewed in India on · 7 months ago,Nice product
"Ranjit Kumar, Jashpur District",4.0 out of 5 stars,4.0•Delightful,"Reviewed in India on · May, 2025","What a perforance. The throw of the beam is too good it goes upto 100-200 meter easily with visible sights. Although the quality of the product is average.  Given type c connector for charging, and gi..."
"Sanjeev  Suman, Purba Champaran District",4.0 out of 5 stars,4.0•Worth the money,"Reviewed in India on · Nov, 2024",Super
"Pintu Singh, Kolkata",5.0 out of 5 stars,5.0•Must buy!,"Reviewed in India on · Mar, 2024",Very very good must hai bhai thanks Flipkart v
"Hanif Kakal, Gandhidham",5.0 out of 5 stars,5.0•Just wow!,"Reviewed in India on · Jan, 2024",Good Torch 🔦
"Kumar Vishal, Patna",5.0 out of 5 stars,5.0•Worth every penny,"Reviewed in India on · Jan, 2024","Light weight, heavy looking, High light"
"Shekhar K P, Bengaluru",5.0 out of 5 stars,5.0•Great product,"Reviewed in India on · Jan, 2024",Super
"Abhinav Kumar, Ambedkar Nagar District",5.0 out of 5 stars,5.0•Terrific purchase,Reviewed in India on · 3 months ago,"First of all according to the price the torch 🔦 is just awesome 👍😊. The range is about 400 meters, if there is no fog or anything the front light lets you see very clearly and the backlight is very..."
"Md Firoj Alam, Kishanganj District",5.0 out of 5 stars,5.0•Classy product,Reviewed in India on · 3 months ago,Battery backup very good battery 5 over backup
Grateful produced 9.5 ⭐,5.0 out of 5 stars,5.0•Classy product,Reviewed in India on · 3 months ago,Grateful produced 9.5 ⭐
"Manikandaraja, Madurai",5.0 out of 5 stars,5.0•Must buy!,Reviewed in India on · 4 months ago,"Good quality, worth of money"
"Ashok Ji, Kotputli",5.0 out of 5 stars,5.0•Awesome,Reviewed in India on · 4 months ago,Great pr
"jubair alam, Balha",5.0 out of 5 stars,5.0•Excellent,Reviewed in India on · 6 months ago,"The torch is very good, its light focuses very far, it is good"
"shivpoojan singh  baghel, Sidhi",5.0 out of 5 stars,5.0•Highly recommended,Reviewed in India on · 6 months ago,I'm using this product last 4- 5 months... Excellent long range light and battery performance.. still no negative complaint from my sides...
"Amal Haridas, Karimba North",5.0 out of 5 stars,5.0•Simply awesome,Reviewed in India on · 6 months ago,"Terrific Purchase 👍🏻💯  The throw of the light is more than 1 km, it is not accurate , i said as per a normal calculation, battery backup is also good upto 6 hours , full charge takes about 2.5 hrs ..."
"Abhishek Narayan, Kolar",5.0 out of 5 stars,5.0•Mind-blowing purchase,Reviewed in India on · 7 months ago,This is a very high-quality product in its segment. I have been using it for nearly six months and am extremely satisfied with its performance.
"Flipkart Customer, Bhadrak District",5.0 out of 5 stars,5.0•Terrific,Reviewed in India on · 7 months ago,Super nice good product
"Rashlal  Ram, Sitamarhi",5.0 out of 5 stars,5.0•Awesome,Reviewed in India on · 8 months ago,Very lightweight and Powerful multi purpose torch light.
"palash das, Guwahati",5.0 out of 5 stars,5.0•Terrific purchase,Reviewed in India on · 9 months ago,"Don't go for other brands while we have the most trusted brand from our childhood, very light in weight and the illumination is really bright, can even spot a little insect😅😍"
"Ganesh Duley, Bankura District",5.0 out of 5 stars,5.0•Terrific,Reviewed in India on · 9 months ago,Good product
"Vinay Kerwadkar, Dandeli",5.0 out of 5 stars,5.0•Great product,Reviewed in India on · 10 months ago,Very nice product
"Mahesh  kok, Losal",5.0 out of 5 stars,5.0•Worth every penny,Reviewed in India on · 10 months ago,I am reviewing after using it for 4 months.  The torch is very good.  The light focus is very good. You can see long distance   Battery 🔋Backup is good. 😊   @Losal (MAHESH KOK)
"Raushan  Singh, Vaishali District",5.0 out of 5 stars,5.0•Worth every penny,Reviewed in India on · 10 months ago,Very good lights and product quality must be buy value for money
"Pritesh Kumar, Purbi Champaran District",5.0 out of 5 stars,5.0•Brilliant,Reviewed in India on · 10 months ago,Good product
"Bhargab Sarma, Udalguri District",5.0 out of 5 stars,5.0•Classy product,Reviewed in India on · 11 months ago,I've been using it for 7 months now ... honestly a good item....liked it .... Eveready 🔥
"MAYUR BHAVSAR, Kalyan",5.0 out of 5 stars,5.0•Super!,Reviewed in India on · 11 months ago,Powerful Eveready Searchlite Is Extremely Useful For Hiking Trekking Night Safaris And Many More Outdoor Activities At Night. Eveready Searchlite  Is Extremely Light Weighted 💞💞💞👌👌👌👍👍👍
"Priti Bhosle, Gangakhed",5.0 out of 5 stars,5.0•Simply awesome,"Reviewed in India on · May, 2025",Good product
"BASUDEV BHOI, Balangir District",5.0 out of 5 stars,5.0•Just wow!,"Reviewed in India on · Mar, 2025",Excellent produce... Value for money...
"Nageswarao Neelam, Vijayawada",5.0 out of 5 stars,5.0•Great product,"Reviewed in India on · Mar, 2025",Super product super useful for agriculture
"Suraj Kumar, Pakur District",5.0 out of 5 stars,5.0•Simply awesome,"Reviewed in India on · Feb, 2025",Very Nice
"Manish Shukla, Navi Mumbai",5.0 out of 5 stars,5.0•Terrific,"Reviewed in India on · Jan, 2025",Super product
"AMOD SINGH, Hajipur",5.0 out of 5 stars,5.0•Terrific,"Reviewed in India on · Nov, 2024",Nice @ 419
"Navjyot Karnuk, Khopoli",5.0 out of 5 stars,5.0•Classy product,"Reviewed in India on · Aug, 2024",I am so happy
"PRANAB PEGU, Silapathar",5.0 out of 5 stars,5.0•Worth every penny,"Reviewed in India on · Aug, 2024","Good product. Excellent brightness against its price. But haven't use for long time, so can't comment on battery durability."
"Solanki Ajay, Vadodara",5.0 out of 5 stars,5.0•Don't waste your money,"Reviewed in India on · Jun, 2024",Not working
"Shiva Goud, Nagarkurnool District",5.0 out of 5 stars,5.0•Must buy!,"Reviewed in India on · Jan, 2024",Very good for farmers
"AJAY  Rana, Kangra District",5.0 out of 5 stars,5.0•Mind-blowing purchase,"Reviewed in India on · Dec, 2023",Exilent product.. Light weight.. Powerful.. Go for it..
"Sonu  Kumar, Darbhanga District",3.0 out of 5 stars,3.0•Nice,Reviewed in India on · 11 months ago,Battery power only for 1 hour's  So this is not for 2 and 3 hour's using time
"SUBHASH  URANG, Mariani",3.0 out of 5 stars,3.0•Does the job,"Reviewed in India on , Mariani",Best
