Author,Rating,Title,Date,Body
Minakshi V.,5 out of 5 stars,Value for money,Reviewed in India on 26 January 2025,Good quality.
"Hi, I am Debasree Mukherjee. l am using Cultsport Qiickrun Anthony Trademill for last week.Thid product is very good. It is easy to install and use.",4 out of 5 stars,Simply go for it,Reviewed in India on 25 January 2025,Nice in this price range also very good packagingThanks Amazon
Sarika b,5 out of 5 stars,Worth the buy,Reviewed in India on 10 September 2024,Product is good new battery is given inside to use it. Portable
Chandrasekar Gopal,5 out of 5 stars,Compact torch.,Reviewed in India on 23 October 2024,The torch is very compact with reasonable light throw at an affordable price.
Birajoo kumar,5 out of 5 stars,Good item,Reviewed in India on 13 October 2024,Good
Vinod Kumar,5 out of 5 stars,Good,Reviewed in India on 23 October 2024,Sturdy
"Smoothens skin, 100% natural.",5 out of 5 stars,Nice,Reviewed in India on 6 August 2024,Works fine came with batteries inside
RUPAK BHATTACHARYA,1 out of 5 stars,Inactive torch,Reviewed in India on 22 October 2024,The torch does not light up even with new battery. I think that Amazon should black list these sellers who dare to send these things in such a miserable state.
Rahul yadav,4.0 out of 5 stars,Pretty good,"Reviewed in India on · Oct, 2024",Good quality in This Price
Sochui Riamei,5.0 out of 5 stars,Great product,"Reviewed in India on · Dec, 2024",Awesome product!! The light coverage is good For such price it is way better than any rechargeable torch. It comes with 3 eveready battery. Very glad to be taking this battery torch on my winter vacat...
Subhamoy Karak,5.0 out of 5 stars,Fabulous!,"Reviewed in India on · Dec, 2024",GOOD Produc
Pramila Kotian,5.0 out of 5 stars,Worth every penny,"Reviewed in India on · Aug, 2022",Good product iam so happy
Flipkart Customer,5.0 out of 5 stars,Excellent,"Reviewed in India on · Nov, 2024",Nice  torch in this price. Very bright light and strong build quality.
Swagatam Mahakud,5.0 out of 5 stars,Perfect product!,Reviewed in India on · 11 days ago,Good quality
Anik Khutia,2.0 out of 5 stars,Moderate,Reviewed in India on · 3 months ago,Okay okay
Sadaf  Khan,5.0 out of 5 stars,Excellent,Reviewed in India on · 5 months ago,Value for money 💰
L.R. Colney,3.0 out of 5 stars,Good,Reviewed in India on · 6 months ago,Not bad
Preethi  Gopi,4.0 out of 5 stars,Delightful,Reviewed in India on · 8 months ago,Good
Flipkart Customer,1.0 out of 5 stars,Hated it!,Reviewed in India on · 8 months ago,No working
Jagui Rongmei,4.0 out of 5 stars,Good quality product,Reviewed in India on · 9 months ago,Good
Haban wankhar,5.0 out of 5 stars,Just wow!,Reviewed in India on · 9 months ago,Good quality n small prize 👍👍
Shraboni Sinha Bose,4.0 out of 5 stars,Value-for-money,Reviewed in India on · 10 months ago,Good product
Sanskritbhasha Shiksha,5.0 out of 5 stars,Awesome,Reviewed in India on · 10 months ago,Great 👍
Aman  Sidhu,3.0 out of 5 stars,Does the job,Reviewed in India on · 10 months ago,Light is ok but cell batteries draining too fast . Batteries working only 1 week
NANDA KUMAR  K,5.0 out of 5 stars,Worth every penny,Reviewed in India on · 10 months ago,A good quality product.Thanks
NITESH SINGH,4.0 out of 5 stars,Very Good,Reviewed in India on · 10 months ago,good
Tapas Kumar Mahato,4.0 out of 5 stars,Wonderful,Reviewed in India on · 11 months ago,Nice product in this price
Kumod Ranjan Mandal,5.0 out of 5 stars,Super!,Reviewed in India on · 11 months ago,Good 😊😊😊
