Author,Rating,Title,Date,Body
"Vishnu  gokuldas, Thrissur",5.0 out of 5 stars,5.0•Just wow!,"Reviewed in India on · May, 2018",timely delivery. good packaging. product have good quality as well as correct information
"Niladri Bhattacharya, Durgapur",5.0 out of 5 stars,5.0•Simply awesome,"Reviewed in India on · Jun, 2018",Excellent Product. Value for Money. Red Color is very cool.I am love it. delivery is good.
"Lingaraju Charana, Bidadi Industrial Area",5.0 out of 5 stars,5.0•Worth every penny,"Reviewed in India on · Jun, 2018",Good product and excellent
Great product at this price,4.0 out of 5 stars,4.0•Great product at this price,"Reviewed in India on · Aug, 2014","Surely a nice product at this price.. Good battery backup.. Just one suggestion, it should indicate as soon as charging is full.."
"Chandraleka.S Selvaraj, Tirunelveli",5.0 out of 5 stars,5.0•Brilliant,"Reviewed in India on · Sep, 2018",Good
"Flipkart Customer, Chennai",4.0 out of 5 stars,4.0•Really Nice,"Reviewed in India on · Jul, 2020","Smart design, it even doubles as a study lamp. Pros:  Emergency light plus flashlight on its rear end.  Clever design, emergency light can be twisted, raised. Bright enough to cover a large room. Back..."
"VIJAY Singh, Jodhpur",5.0 out of 5 stars,5.0•Super product.,"Reviewed in India on · Sep, 2015","This is the best led torch hands down. I've purchased like 6 pieces.  I charged it for like 24 hours. After that, It works for more than 24 hours. Once in the day i switched on both the lights just to..."
Awesome,5.0 out of 5 stars,5.0•Awesome,"Reviewed in India on · May, 2017","Working super, even after 3years."
"Yogesh  Kumar, Saharsa",5.0 out of 5 stars,5.0•Simply awesome,"Reviewed in India on · Jul, 2018","I'm reviewing this product after using 8 months. Its performance is really very good, battery standby time is outstanding and it can also used as a study lamp.It is really an outstanding thing for stu..."
"Rajiv Kumar, Bhagalpur",5.0 out of 5 stars,5.0•Excellent,"Reviewed in India on · Feb, 2020",Good working. Good packaging. Good quality.
"Flipkart Customer, Haldia",5.0 out of 5 stars,5.0•Super!,"Reviewed in India on · Nov, 2022",Very powerful light...
"Karthick Moorthy, Chennai",4.0 out of 5 stars,4.0•Good quality product,"Reviewed in India on · Mar, 2018",It's really a brilliant one. Go for it . I have purchased another Eveready led product as well 3 years ago and still didn't faced any issues. Trust the brand and go for it.
"Sadab Ansari, Ahmedabad",5.0 out of 5 stars,5.0•Brilliant,"Reviewed in India on · Feb, 2020","Nice Product, Heavy Plastic, Good Lighting"
"Manoj, Pune",5.0 out of 5 stars,5.0•Nice Product,"Reviewed in India on · Oct, 2017",Got it in 1000 bucks in big billion days. Worth the money.  Normal price looks higher though.  LED is quite bright and serves the purpose well. Haven't tested it enough though.
"Shashwat Singh Rajput, Murwara Katni",5.0 out of 5 stars,5.0•Just wow!,"Reviewed in India on · Aug, 2017",Great product and great service I love it My first experience is very good with flipkart
"Neerav Kumar, Patna",5.0 out of 5 stars,5.0•Must buy!,"Reviewed in India on · Mar, 2017",Very effective product...... Torch is quite strong focused...... Rotate the lamp side to torch side and you get even more light..... Terrific design idea
"Ashish Ranjan, Patna",5.0 out of 5 stars,5.0•nice,"Reviewed in India on · May, 2016",Very good product and very good seller it works super when lights gone
"Ravindra Srinivas, Bangalore",5.0 out of 5 stars,5.0•Good product,"Reviewed in India on · Jun, 2015",Génuine product.. good back up timing...good value for ur money . fantastic super fast service by flipkart.
Awsummm Piece,5.0 out of 5 stars,5.0•Awsummm Piece,"Reviewed in India on · Dec, 2014","Good design, bright light, long hours of lightning.... On top Eveready Brandd.. go for it guys....  I bought it for rs. 999 on flipkart app discount day..."
Very Good,5.0 out of 5 stars,5.0•Very Good,"Reviewed in India on · Jul, 2014",About Delivery- It got delivered to my address on very next day (One day delivery option selected - Cost-90 more). It was well packed. About product: It was full charged at the time of delivery. It ha...
"Suresh Guntur, Nellore",5.0 out of 5 stars,5.0•Simply awesome,"Reviewed in India on · Apr, 2018","writing this product review after 3 yrs of usage. this is really nice product, very good quality light, gives almost 6 to 7 hours of continuous usage. happy with long life, durability"
"Umesh Mondal, New Town",4.0 out of 5 stars,4.0•Wonderful,"Reviewed in India on · Feb, 2018",It is a varry bright LED light anvarry powerful batry backup and the filipkart is a varry fast dilavary and nice parking thank you filipkart and ekart
"Sandeep Sharma, New Delhi",4.0 out of 5 stars,4.0•Good for students anytime.,"Reviewed in India on · Oct, 2017",This emergency works for at least 8-9 hours with both the lights. This is my 3rd time that I have purchased this. 2nd time from flipkart but last experience was not good Coz that didnt worked for a lo...
"Umesh Sasankota, Pune",4.0 out of 5 stars,4.0•Very Good,"Reviewed in India on · Apr, 2017",Nice product. Handy during power cuts. Having  2 lights is a good option. Happy so far.
Delightful,4.0 out of 5 stars,4.0•Delightful,"Reviewed in India on · Sep, 2016","Good as expected,but not up the mark in case for lighting bcz the 39leds are not one side these are sum of (led light+back torch).other than this everything is well and good"
"Rahul Rana, Gwalior",4.0 out of 5 stars,4.0•price is high,"Reviewed in India on · Jun, 2016",overall product is good . color of led is pure white. battery backup is awesome . a like two functions of this product that is overcharging protection and over-discharging protection   which helps for...
Worthful and Economy,4.0 out of 5 stars,4.0•Worthful and Economy,"Reviewed in India on · Jun, 2016",working fine. good brightness. long time backup.Earlier I have tube type. But this led in more bright than it . sufficient lighting for my 20x 20 Hall and very good for study purpose.thanks to flipkart
"Aatish Anand, Kota",4.0 out of 5 stars,4.0•Versatile,"Reviewed in India on · May, 2016",Good looks with good battery life and highly versatile I loved it
Overall Good,4.0 out of 5 stars,4.0•Overall Good,"Reviewed in India on · Mar, 2016","I have not yet used as I have 24 hrs of expriance using this product. Well, I find better than others in the market plus Eveready has its own brand value in market. Hope to see the same like others po..."
After a month usage,4.0 out of 5 stars,4.0•After a month usage,"Reviewed in India on · Feb, 2016",A must have...grab one before summer hits. i am happy with performance of the product. The light is bright and enough to light area up when it is dam dark.
Ankit patel,4.0 out of 5 stars,4.0•Very good product in range of this price,"Reviewed in India on · Jul, 2015",Very good product in range of this price. LEDS are very bright.. i havn't got chance to runt it for lognger time but works very fine 2 hrs without any issue.
Gowthaman Rangaraj,4.0 out of 5 stars,4.0•Eveready Emergency Light - 52 LED,"Reviewed in India on · Jun, 2015",Advantages: 1. 180 degree rotatable light diaphragm that can be used to enhance luminosity at dark 2. Other side of the image has a circular light like Torch that is very handy to focus at objects at night!
"Nidhi Gupta, Bangalore",4.0 out of 5 stars,4.0•Good Product,"Reviewed in India on · Jun, 2015","Good product,  Light and quality is good.While moving the LED , its make the sound but overall it serve the purpose. Received the item on the same day of placing the order - Good service provided by W..."
"Gokulakrishnan Natarajan, Chennai",4.0 out of 5 stars,4.0•Really its a good product from Eveready,"Reviewed in India on · May, 2015","Really its a good product from Eveready.  Works well and I have been using this product for more than 2 months, I will recommend this product."
Product is very good,4.0 out of 5 stars,4.0•Product is very good,"Reviewed in India on · May, 2015","Eveready HL-52 is a very good Emergency Light. I am using it.Both as torch ight and  a study light also.Flipkart delivered it well in time ,in good condition. one thing i find odd in it  is the power ..."
Good product,4.0 out of 5 stars,4.0•Good product,"Reviewed in India on · Apr, 2015","The product has very good battery back up with light weight and great design. However, the intensity of light could be improved by the manufacturer. Flipkart delivery is great."
Good product,4.0 out of 5 stars,4.0•Good product,"Reviewed in India on · Apr, 2015","The item received in one piece. That's the good thing of Flipkart. No damages to the outer box packing and internal original box was intact. Coming to the product, its nice and good one with a decent ..."
"Ashutosh Kumar Singh, Lucknow",4.0 out of 5 stars,4.0•Value for Money,"Reviewed in India on · Mar, 2015",Nice product in terms of battery backup and light. its have an sufficient light for a room/kitchen/dining hall. so please by it . its an worthy product.i am using it from last 4 months.
It is good product.,4.0 out of 5 stars,4.0•It is good product.,"Reviewed in India on · Feb, 2015",I purchased this product from Flipkart. The product was nicely packed. The product is good basically. It provides more light. But the button (automatic on/off) specified in the product by flipkart  is...
"Pramod Kumar Nayak, Cuttack District",4.0 out of 5 stars,4.0•Value for Money,"Reviewed in India on · Feb, 2015",This product is of good quality and durable. I have two pieces of this light. One I purchased in  July 2012 is working fine till now. I would recommend to purchase this light.
Good product,4.0 out of 5 stars,4.0•Good product,"Reviewed in India on · Jan, 2015",This is a good product.I charged it as per the instructions before first use. It provides decent lighting for a 10x10 room. Definitely not to a level of normal LED bulb. But it is sufficient to do work.
Worth every penny!!!!!,4.0 out of 5 stars,4.0•Worth every penny!!!!!,"Reviewed in India on · Jan, 2015","I wanted to buy economical and at the same time a decent product... luckily endedup buying Eveready HL - 52 Emergency Lights. Today, I am happy for making that decision. Decent product worth buying."
"Devindersingh Dhiman, Vadodara",4.0 out of 5 stars,4.0•Good product but delivery was very late,"Reviewed in India on · Oct, 2014","Delivery was severely delayed. Infact, there was no movement at all until I wrote an email to Flipkart. I understand it was because of Hudhud cyclone. But I am happy that once I informed to Flipkart, ..."
Good and handy product,4.0 out of 5 stars,4.0•Good and handy product,"Reviewed in India on · Oct, 2014",Product is very handy and easy to use. Also the torch in it is very good. I hope the LED will be give long service then other product.  Over all I like the product.
Akshay Khandalkar,4.0 out of 5 stars,4.0•its good for daily indoor use.,"Reviewed in India on · Sep, 2014","i use it as a reading lamp, 1 hr daily, charge it once a week. the button placement and ergonomics is good.charging cable is very short so u need to use a table near the plug point.    the built quali..."
"H. Hangsing, Itanagar",4.0 out of 5 stars,4.0•Best value for money,"Reviewed in India on · May, 2014","The item was as described. As other people has pointed out the led panel makes a lot of noise when you move it around, but the fact to be read here is that the led panel can be turned and adjusted whi..."
Saprativ Basu,4.0 out of 5 stars,4.0•nice product with budget price,"Reviewed in India on · Feb, 2014",Only feature that I didn't like is the position of the power chord at the bottom of the structure. The intensity of the light is very good with a visibility range of 10 m.  The build is very sturdy an...
"abdul  rahiman, Vijayawada",4.0 out of 5 stars,4.0•good,"Reviewed in India on · Jan, 2014",the product is good and it is working properly. the product is available at reasonable price even there is slight difference. and it is difficult find variety of products in different brands at one pl...
Bright Light @ a price,4.0 out of 5 stars,4.0•Bright Light @ a price,"Reviewed in India on · Jan, 2014",Now a days an emergency light has become a necessity in our neighbourhood due to power outages. This was the best buy of the year for me. Charging time is a little more but it is worthwhile to see all...
Renish Ramachandran,4.0 out of 5 stars,4.0•Eveready 39 LED Emergency Light not 52,"Reviewed in India on · Dec, 2013","When I see Model No is HL 52 LED  Emergency Light from flipcart, I thought totally there will be 52 LED's but only (30+9) =39 LED's and colour I got is different from displayed in website. I got dark ..."
Vamshi  Kota,4.0 out of 5 stars,4.0•Economically efficient- thank u flipkart,"Reviewed in India on · Oct, 2013","I am much satisfied with the product especially with the flipkart's pricing. the product is comparably smaller in size, expected to be bigger nevertheless powerful and sufficient lighting with long ba..."
Good Product,4.0 out of 5 stars,4.0•Good Product,"Reviewed in India on · Oct, 2013",Its a good product. I bought this on deal of the day.. so i am happy with the price... The sound while changing to study lamp is annoying... overall its worth to buy....
"Debabrata Kundu, Kolkata",4.0 out of 5 stars,4.0•good product,"Reviewed in India on · Jul, 2013","i bought this product from flipkart 3 month ago. But after purchasing i visited a mall near my house & found that the price is lower than flipkart price in kolkata. so, me little disappointed.  the li..."
Nice Product,4.0 out of 5 stars,4.0•Nice Product,"Reviewed in India on · Jun, 2013","Pros: Emergency light is great, overall works same as 15-18w CFL in your room, add Multi functionality like study light, and powerful torch, it is great buy. Power cable is inside the light itself so ..."
RAKESH PRABHU,4.0 out of 5 stars,4.0•Small Emergency Light and Very Nice One,"Reviewed in India on · Jun, 2013","Very Nice Product   Small emergency light with good powerfull light...  i ordered red color, In box it is yellow color light.... inside it is merun color light....  delivery is very fast with very goo..."
Kusum Jethwani,4.0 out of 5 stars,4.0•,"Reviewed in India on · Jan, 2013","I received the product in an excellent condition. Although, the colour I got was coffee colour and not bright red as shown in the picture.  I got this product on the very next day after placing the or..."
Arijit Banik,3.0 out of 5 stars,3.0•Great product but some -ve gonna be there.,"Reviewed in India on · Jan, 2013",At First thanks to FK for their amazing service ....  Got this product week and after unpack I found the colour is not RED instead it Coffee/ Chocolate colour....didn't raise any complain as matter of...
"Anish Chandran, Bangalore",5.0 out of 5 stars,5.0•Good product and value for money,"Reviewed in India on · Aug, 2017","Good product. Used it for a month now. It is bright enough and works fine. Flipkart delivered it on time. You can confidently buy the product. I don't know why son,any people say it's bad and it is a ..."
Awesome Product,5.0 out of 5 stars,5.0•Awesome Product,"Reviewed in India on · Oct, 2013",I bought this product from flipkart. It's an awesome product. Working absolutely fine. Has two light function...one on the top and one front...the front light panel can be moved in up and diagonal dir...
Sushil Choudhary,3.0 out of 5 stars,3.0•Eveready HL- 52 Emergency Lights,"Reviewed in India on · Mar, 2015","Makes too much of sound while rotating the front panel. Two led on top right corner of front panel, stop glowing after one month of use."
"VARGHESE BABY, Kothamangalam",5.0 out of 5 stars,5.0•Fabulous!,"Reviewed in India on · May, 2018",This is a very good product. It was a great help for me during the exam time. It's worth every penny. Still working after 2 years perfectly. Highly durable
"Shubham Kaushik, Rohtak",5.0 out of 5 stars,5.0•Mind-blowing purchase,"Reviewed in India on · May, 2018","Brilliant, Very good and innovative product, really best for students as well as for households."
"Flipkart Customer, Firozabad",5.0 out of 5 stars,5.0•,"Reviewed in India on · May, 2018",Excellent product with best quality. Very bright light with long lasting back up. Very happy customer and recommended product
